,encoder,data,enhance_type,enhance_llm,metrics,stat,p
406,Jina,iTrust,req,Gemini,precision,0.0,0.03125
407,Jina,iTrust,req,Gemini,recall,10.5,0.8125
408,Jina,iTrust,req,Gemini,f1,1.0,0.0625
409,Jina,iTrust,req,Gemini,f2,7.0,0.5
410,Jina,iTrust,req,GPT3.5,accuracy,2.0,0.09375
411,Jina,iTrust,req,GPT3.5,precision,1.0,0.0625
412,Jina,iTrust,req,GPT3.5,recall,6.0,0.40625
413,Jina,iTrust,req,GPT3.5,f1,2.0,0.09375
414,Jina,iTrust,req,GPT3.5,f2,5.0,0.3125
415,Jina,iTrust,req,GPT-4o,accuracy,2.0,0.09375
416,Jina,iTrust,req,GPT-4o,precision,1.0,0.0625
417,Jina,iTrust,req,GPT-4o,recall,2.0,0.375
418,Jina,iTrust,req,GPT-4o,f1,2.0,0.09375
419,Jina,iTrust,req,GPT-4o,f2,3.0,0.15625
420,Jina,iTrust,code,Claude3,accuracy,0.0,0.0625
421,Jina,iTrust,code,Claude3,precision,0.0,0.03125
422,Jina,iTrust,code,Claude3,recall,2.0,0.375
423,Jina,iTrust,code,Claude3,f1,1.0,0.0625
424,Jina,iTrust,code,Claude3,f2,3.0,0.15625
425,Jina,iTrust,code,Gemini,accuracy,0.0,0.03125
426,Jina,iTrust,code,Gemini,precision,0.0,0.03125
427,Jina,iTrust,code,Gemini,recall,3.0,0.625
428,Jina,iTrust,code,Gemini,f1,1.0,0.0625
429,Jina,iTrust,code,Gemini,f2,7.0,0.5
430,Jina,iTrust,code,GPT3.5,accuracy,0.0,0.03125
431,Jina,iTrust,code,GPT3.5,precision,0.0,0.03125
432,Jina,iTrust,code,GPT3.5,recall,3.0,0.625
433,Jina,iTrust,code,GPT3.5,f1,0.0,0.03125
434,Jina,iTrust,code,GPT3.5,f2,3.0,0.15625
435,Jina,iTrust,code,GPT-4o,accuracy,0.0,0.125
436,Jina,iTrust,code,GPT-4o,precision,0.0,0.03125
437,Jina,iTrust,code,GPT-4o,recall,7.5,0.625
438,Jina,iTrust,code,GPT-4o,f1,3.0,0.15625
439,Jina,iTrust,code,GPT-4o,f2,5.0,0.3125
440,Jina,iTrust,req(example),Claude3,accuracy,9.0,0.6875
441,Jina,iTrust,req(example),Claude3,precision,10.0,0.78125
442,Jina,iTrust,req(example),Claude3,recall,7.0,0.8125
443,Jina,iTrust,req(example),Claude3,f1,9.0,0.6875
444,Jina,iTrust,req(example),Claude3,f2,9.0,0.6875
445,Jina,iTrust,req(example),Gemini,accuracy,6.5,0.4375
446,Jina,iTrust,req(example),Gemini,precision,5.0,0.3125
447,Jina,iTrust,req(example),Gemini,recall,7.0,0.5
448,Jina,iTrust,req(example),Gemini,f1,6.0,0.40625
449,Jina,iTrust,req(example),Gemini,f2,7.0,0.5
450,Jina,iTrust,req(example),GPT3.5,accuracy,3.0,0.15625
451,Jina,iTrust,req(example),GPT3.5,precision,1.0,0.0625
452,Jina,iTrust,req(example),GPT3.5,recall,6.0,0.40625
453,Jina,iTrust,req(example),GPT3.5,f1,3.0,0.15625
454,Jina,iTrust,req(example),GPT3.5,f2,5.0,0.3125
455,Jina,iTrust,req(example),GPT-4o,accuracy,1.0,0.0625
456,Jina,iTrust,req(example),GPT-4o,precision,0.0,0.03125
457,Jina,iTrust,req(example),GPT-4o,recall,4.5,0.5
458,Jina,iTrust,req(example),GPT-4o,f1,2.0,0.09375
459,Jina,iTrust,req(example),GPT-4o,f2,5.0,0.3125
460,Jina,iTrust,code(example),Claude3,accuracy,1.0,0.125
461,Jina,iTrust,code(example),Claude3,precision,1.0,0.0625
462,Jina,iTrust,code(example),Claude3,recall,4.0,0.21875
463,Jina,iTrust,code(example),Claude3,f1,2.0,0.09375
464,Jina,iTrust,code(example),Claude3,f2,3.0,0.15625
465,Jina,iTrust,code(example),Gemini,accuracy,0.0,0.0625
466,Jina,iTrust,code(example),Gemini,precision,0.0,0.0625
467,Jina,iTrust,code(example),Gemini,recall,0.0,0.0625
468,Jina,iTrust,code(example),Gemini,f1,0.0,0.0625
469,Jina,iTrust,code(example),Gemini,f2,0.0,0.0625
470,Jina,iTrust,code(example),GPT3.5,accuracy,0.0,0.125
471,Jina,iTrust,code(example),GPT3.5,precision,0.0,0.03125
472,Jina,iTrust,code(example),GPT3.5,recall,4.5,0.5
473,Jina,iTrust,code(example),GPT3.5,f1,4.0,0.21875
474,Jina,iTrust,code(example),GPT3.5,f2,6.0,0.40625
475,Jina,iTrust,code(example),GPT-4o,accuracy,4.0,0.21875
476,Jina,iTrust,code(example),GPT-4o,precision,3.0,0.15625
477,Jina,iTrust,code(example),GPT-4o,recall,2.0,0.375
478,Jina,iTrust,code(example),GPT-4o,f1,4.0,0.21875
479,Jina,iTrust,code(example),GPT-4o,f2,4.0,0.21875
480,Jina,RETRO,req,Claude3,accuracy,0.0,0.125
481,Jina,RETRO,req,Claude3,precision,6.0,0.6875
482,Jina,RETRO,req,Claude3,recall,0.0,0.0625
483,Jina,RETRO,req,Claude3,f1,0.0,0.0625
484,Jina,RETRO,req,Claude3,f2,0.0,0.0625
485,Jina,RETRO,req,Gemini,accuracy,7.5,0.875
486,Jina,RETRO,req,Gemini,precision,10.0,0.75
487,Jina,RETRO,req,Gemini,recall,10.0,0.84375
488,Jina,RETRO,req,Gemini,f1,10.0,0.78125
489,Jina,RETRO,req,Gemini,f2,10.0,0.78125
490,Jina,RETRO,req,GPT3.5,accuracy,6.0,0.40625
491,Jina,RETRO,req,GPT3.5,precision,7.0,0.5
492,Jina,RETRO,req,GPT3.5,recall,1.5,0.1875
493,Jina,RETRO,req,GPT3.5,f1,5.0,0.3125
494,Jina,RETRO,req,GPT3.5,f2,4.0,0.21875
495,Jina,RETRO,req,GPT-4o,accuracy,1.5,0.1875
496,Jina,RETRO,req,GPT-4o,precision,5.5,0.34375
497,Jina,RETRO,req,GPT-4o,recall,2.0,0.125
498,Jina,RETRO,req,GPT-4o,f1,2.5,0.125
499,Jina,RETRO,req,GPT-4o,f2,2.5,0.125
500,Jina,RETRO,code,Claude3,accuracy,5.0,0.375
501,Jina,RETRO,code,Claude3,precision,7.0,0.5
502,Jina,RETRO,code,Claude3,recall,0.0,0.0625
503,Jina,RETRO,code,Claude3,f1,3.0,0.125
504,Jina,RETRO,code,Claude3,f2,2.0,0.09375
505,Jina,RETRO,code,Gemini,accuracy,4.5,0.5
506,Jina,RETRO,code,Gemini,precision,9.0,0.6875
507,Jina,RETRO,code,Gemini,recall,2.5,0.25
508,Jina,RETRO,code,Gemini,f1,6.0,0.40625
509,Jina,RETRO,code,Gemini,f2,5.0,0.3125
510,Jina,RETRO,code,GPT3.5,accuracy,0.0,0.0625
511,Jina,RETRO,code,GPT3.5,precision,2.0,0.1875
512,Jina,RETRO,code,GPT3.5,recall,0.0,0.0625
513,Jina,RETRO,code,GPT3.5,f1,0.0,0.0625
514,Jina,RETRO,code,GPT3.5,f2,0.0,0.0625
515,Jina,RETRO,code,GPT-4o,accuracy,1.0,0.5
516,Jina,RETRO,code,GPT-4o,precision,10.0,0.78125
517,Jina,RETRO,code,GPT-4o,recall,3.5,0.1875
518,Jina,RETRO,code,GPT-4o,f1,4.0,0.21875
519,Jina,RETRO,code,GPT-4o,f2,4.0,0.21875
520,Jina,RETRO,req(example),Claude3,accuracy,0.0,0.125
521,Jina,RETRO,req(example),Claude3,precision,6.0,0.6875
522,Jina,RETRO,req(example),Claude3,recall,0.0,0.0625
523,Jina,RETRO,req(example),Claude3,f1,0.0,0.0625
524,Jina,RETRO,req(example),Claude3,f2,0.0,0.0625
525,Jina,RETRO,req(example),Gemini,accuracy,0.0,0.125
526,Jina,RETRO,req(example),Gemini,precision,5.0,0.5625
527,Jina,RETRO,req(example),Gemini,recall,0.0,0.0625
528,Jina,RETRO,req(example),Gemini,f1,0.0,0.0625
529,Jina,RETRO,req(example),Gemini,f2,0.0,0.0625
530,Jina,RETRO,req(example),GPT3.5,accuracy,1.0,0.25
531,Jina,RETRO,req(example),GPT3.5,precision,2.0,0.375
532,Jina,RETRO,req(example),GPT3.5,recall,1.5,0.375
533,Jina,RETRO,req(example),GPT3.5,f1,1.0,0.25
534,Jina,RETRO,req(example),GPT3.5,f2,1.0,0.25
535,Jina,RETRO,req(example),GPT-4o,accuracy,3.0,0.3125
536,Jina,RETRO,req(example),GPT-4o,precision,3.0,0.3125
537,Jina,RETRO,req(example),GPT-4o,recall,3.0,0.3125
538,Jina,RETRO,req(example),GPT-4o,f1,3.0,0.3125
539,Jina,RETRO,req(example),GPT-4o,f2,3.0,0.3125
540,Jina,RETRO,code(example),Claude3,accuracy,1.0,0.5
541,Jina,RETRO,code(example),Claude3,precision,6.0,0.6875
542,Jina,RETRO,code(example),Claude3,recall,0.0,0.125
543,Jina,RETRO,code(example),Claude3,f1,3.0,0.3125
544,Jina,RETRO,code(example),Claude3,f2,1.0,0.125
545,Jina,RETRO,code(example),Gemini,accuracy,10.0,1.0
546,Jina,RETRO,code(example),Gemini,precision,15.0,1.0
547,Jina,RETRO,code(example),Gemini,recall,8.5,0.625
548,Jina,RETRO,code(example),Gemini,f1,13.0,0.9375
549,Jina,RETRO,code(example),Gemini,f2,10.0,0.78125
550,Jina,RETRO,code(example),GPT3.5,accuracy,3.0,0.625
551,Jina,RETRO,code(example),GPT3.5,precision,6.0,0.6875
552,Jina,RETRO,code(example),GPT3.5,recall,0.0,0.25
553,Jina,RETRO,code(example),GPT3.5,f1,5.0,0.5625
554,Jina,RETRO,code(example),GPT3.5,f2,3.0,0.3125
555,Jina,RETRO,code(example),GPT-4o,accuracy,1.5,0.09375
556,Jina,RETRO,code(example),GPT-4o,precision,3.0,0.15625
557,Jina,RETRO,code(example),GPT-4o,recall,1.5,0.09375
558,Jina,RETRO,code(example),GPT-4o,f1,1.0,0.0625
559,Jina,RETRO,code(example),GPT-4o,f2,1.0,0.0625
560,Jina,eTOUR,req,Claude3,accuracy,6.0,0.375
561,Jina,eTOUR,req,Claude3,precision,0.0,0.03125
562,Jina,eTOUR,req,Claude3,recall,6.5,0.75
563,Jina,eTOUR,req,Claude3,f1,6.0,0.40625
564,Jina,eTOUR,req,Claude3,f2,8.0,0.59375
565,Jina,eTOUR,req,Gemini,accuracy,3.0,0.625
566,Jina,eTOUR,req,Gemini,precision,3.0,0.15625
567,Jina,eTOUR,req,Gemini,recall,9.5,0.71875
568,Jina,eTOUR,req,Gemini,f1,9.0,0.6875
569,Jina,eTOUR,req,Gemini,f2,10.0,0.78125
570,Jina,eTOUR,req,GPT3.5,accuracy,8.5,0.9375
571,Jina,eTOUR,req,GPT3.5,precision,8.0,0.59375
572,Jina,eTOUR,req,GPT3.5,recall,8.0,0.875
573,Jina,eTOUR,req,GPT3.5,f1,14.0,0.96875
574,Jina,eTOUR,req,GPT3.5,f2,13.0,0.9375
575,Jina,eTOUR,req,GPT-4o,accuracy,3.5,0.1875
576,Jina,eTOUR,req,GPT-4o,precision,3.0,0.15625
577,Jina,eTOUR,req,GPT-4o,recall,3.0,0.625
578,Jina,eTOUR,req,GPT-4o,f1,4.0,0.21875
579,Jina,eTOUR,req,GPT-4o,f2,10.0,0.78125
580,Jina,eTOUR,code,Claude3,accuracy,7.0,0.8125
581,Jina,eTOUR,code,Claude3,precision,8.0,0.59375
582,Jina,eTOUR,code,Claude3,recall,9.0,0.71875
583,Jina,eTOUR,code,Claude3,f1,10.0,0.78125
584,Jina,eTOUR,code,Claude3,f2,10.0,0.78125
585,Jina,eTOUR,code,Gemini,accuracy,7.0,0.5
586,Jina,eTOUR,code,Gemini,precision,0.0,0.03125
587,Jina,eTOUR,code,Gemini,recall,9.0,0.71875
588,Jina,eTOUR,code,Gemini,f1,7.0,0.5
589,Jina,eTOUR,code,Gemini,f2,9.0,0.6875
590,Jina,eTOUR,code,GPT3.5,accuracy,8.0,0.59375
591,Jina,eTOUR,code,GPT3.5,precision,6.0,0.40625
592,Jina,eTOUR,code,GPT3.5,recall,8.5,0.65625
593,Jina,eTOUR,code,GPT3.5,f1,8.0,0.59375
594,Jina,eTOUR,code,GPT3.5,f2,8.0,0.59375
595,Jina,eTOUR,code,GPT-4o,accuracy,0.0,0.0625
596,Jina,eTOUR,code,GPT-4o,precision,2.0,0.09375
597,Jina,eTOUR,code,GPT-4o,recall,3.5,0.1875
598,Jina,eTOUR,code,GPT-4o,f1,0.0,0.03125
599,Jina,eTOUR,code,GPT-4o,f2,1.0,0.0625
600,Jina,eTOUR,req(example),Claude3,accuracy,7.0,0.8125
601,Jina,eTOUR,req(example),Claude3,precision,11.0,0.84375
602,Jina,eTOUR,req(example),Claude3,recall,3.5,0.375
603,Jina,eTOUR,req(example),Claude3,f1,11.0,0.84375
604,Jina,eTOUR,req(example),Claude3,f2,8.0,0.59375
605,Jina,eTOUR,req(example),Gemini,accuracy,14.0,0.96875
606,Jina,eTOUR,req(example),Gemini,precision,10.0,0.78125
607,Jina,eTOUR,req(example),Gemini,recall,11.0,0.84375
608,Jina,eTOUR,req(example),Gemini,f1,14.0,0.96875
609,Jina,eTOUR,req(example),Gemini,f2,13.0,0.9375
610,Jina,eTOUR,req(example),GPT3.5,accuracy,6.5,0.75
611,Jina,eTOUR,req(example),GPT3.5,precision,3.0,0.15625
612,Jina,eTOUR,req(example),GPT3.5,recall,12.5,0.9375
613,Jina,eTOUR,req(example),GPT3.5,f1,10.0,0.78125
614,Jina,eTOUR,req(example),GPT3.5,f2,12.0,0.90625
615,Jina,eTOUR,req(example),GPT-4o,accuracy,0.0,0.125
616,Jina,eTOUR,req(example),GPT-4o,precision,3.0,0.15625
617,Jina,eTOUR,req(example),GPT-4o,recall,5.0,0.34375
618,Jina,eTOUR,req(example),GPT-4o,f1,2.0,0.09375
619,Jina,eTOUR,req(example),GPT-4o,f2,5.0,0.3125
620,Jina,eTOUR,code(example),Claude3,accuracy,3.0,0.625
621,Jina,eTOUR,code(example),Claude3,precision,6.0,0.6875
622,Jina,eTOUR,code(example),Claude3,recall,4.0,0.5
623,Jina,eTOUR,code(example),Claude3,f1,6.0,0.6875
624,Jina,eTOUR,code(example),Claude3,f2,5.0,0.5625
625,Jina,eTOUR,code(example),Gemini,accuracy,6.0,0.75
626,Jina,eTOUR,code(example),Gemini,precision,10.0,0.78125
627,Jina,eTOUR,code(example),Gemini,recall,4.0,0.5
628,Jina,eTOUR,code(example),Gemini,f1,8.0,0.59375
629,Jina,eTOUR,code(example),Gemini,f2,7.0,0.5
630,Jina,eTOUR,code(example),GPT3.5,accuracy,6.0,0.6875
631,Jina,eTOUR,code(example),GPT3.5,precision,5.0,0.3125
632,Jina,eTOUR,code(example),GPT3.5,recall,9.5,0.71875
633,Jina,eTOUR,code(example),GPT3.5,f1,10.0,0.78125
634,Jina,eTOUR,code(example),GPT3.5,f2,9.0,0.6875
635,Jina,eTOUR,code(example),GPT-4o,accuracy,13.5,0.96875
636,Jina,eTOUR,code(example),GPT-4o,precision,11.0,0.84375
637,Jina,eTOUR,code(example),GPT-4o,recall,5.0,0.3125
638,Jina,eTOUR,code(example),GPT-4o,f1,12.0,0.90625
639,Jina,eTOUR,code(example),GPT-4o,f2,6.0,0.40625
